cluster_id,feature,importance
16,tri_4_5_6_avg_x,0.096342
16,bi_4_5_avg_x,0.068527
16,tri_4_5_6_area_ratio_jk,0.039878
16,tri_4_5_6_avg_y,0.038367
16,tri_4_5_6_area_ratio_ij,0.038238
16,bi_4_6_avg_x,0.037695
16,bi_5_6_avg_x,0.036573
16,tri_4_5_6_count,0.033473
16,tri_3_5_6_avg_x,0.030518
16,tri_1_4_5_area_ratio_jk,0.02802
17,tri_1_4_6_avg_x,0.140038
17,tri_1_4_6_count,0.085314
17,tri_1_4_6_area_ratio_ij,0.079253
17,bi_1_4_avg_x,0.06169
17,tri_1_4_6_area_ratio_jk,0.059858
17,bi_4_6_avg_x,0.056921
17,tri_1_4_6_avg_y,0.055203
17,bi_1_6_avg_x,0.039739
17,tri_1_3_6_avg_x,0.025194
17,uni_6_avg_x,0.018835
18,tri_1_2_4_avg_x,0.137108
18,tri_1_2_4_area_ratio_ij,0.063045
18,tri_1_2_4_count,0.062891
18,bi_1_4_avg_x,0.060063
18,bi_2_4_avg_x,0.055195
18,uni_4_avg_x,0.052109
18,tri_1_2_4_avg_y,0.04946
18,tri_1_2_4_area_ratio_jk,0.048503
18,bi_1_2_avg_x,0.041595
18,tri_1_2_3_avg_x,0.033453
19,tri_3_4_6_avg_y,0.120434
19,tri_3_4_6_area_ratio_ij,0.094673
19,tri_3_4_6_count,0.092802
19,tri_3_4_6_area_ratio_jk,0.075442
19,tri_3_4_6_avg_x,0.049553
19,bi_4_6_area_ratio,0.043106
19,bi_4_6_avg_y,0.030665
19,bi_4_6_count,0.026924
19,bi_3_4_count,0.022241
19,bi_4_5_area_ratio,0.021281
